Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
4060,9000,9000,9000,27001,1,21520.729341,3012.694336
4070,9000,9000,9000,27001,1,21534.194171,3021.275131
4080,9000,9000,9000,27001,1,21547.592939,3029.956202
4090,9000,9000,9000,27001,1,21560.926202,3038.528984
4100,9000,9000,9000,27001,1,21574.194515,3047.307593
4110,9000,9000,9000,27001,1,21587.398083,3055.977891
4120,9000,9000,9000,27001,1,21600.537709,3064.644628
4130,9000,9000,9000,27001,1,21613.613822,3073.625270
4140,9000,9000,9000,27001,1,21626.626662,3082.391792
4150,9000,9000,9000,27001,1,21639.576261,3090.410595
4160,9000,9000,9000,27001,1,21652.463944,3098.849211
4170,9000,9000,9000,27001,1,21665.289788,3107.390054
4180,9000,9000,9000,27001,1,21678.054303,3116.141098
4190,9000,9000,9000,27001,1,21690.758033,3125.104056
4200,9000,9000,9000,27001,1,21703.401436,3134.172948
4210,9000,9000,9000,27001,1,21715.984501,3142.700311
4220,9000,9000,9000,27001,1,21728.508030,3151.223585
4230,9000,9000,9000,27001,1,21740.972397,3159.742767
4240,9000,9000,9000,27001,1,21753.377591,3168.584321
4250,9000,9000,9000,27001,1,21765.724799,3177.096112
4260,9000,9000,9000,27001,1,21778.014017,3185.931996
4270,9000,9000,9000,27001,1,21790.245465,3194.655730
4280,9000,9000,9000,27001,1,21802.420074,3203.816450
4290,9000,9000,9000,27001,1,21814.537828,3212.425075
4300,9000,8999,9000,27000,1,21826.599213,3221.140701
4310,9000,9000,9000,27001,1,21838.604485,3229.853316
4320,9000,9000,9000,27001,1,21850.554429,3238.896347
4330,9000,9000,9000,27001,1,21862.449205,3247.938141
4340,9000,9000,9000,27001,1,21874.288829,3256.643461
4350,9000,9000,9000,27001,1,21886.074196,3265.457820
4360,9000,9000,9000,27001,1,21897.805629,3274.494377
4370,9000,9000,9000,27001,1,21909.483124,3283.079287
4380,9000,9000,9000,27001,1,21921.107389,3291.773531
4390,9000,9000,9000,27001,1,21932.678589,3300.464779
4400,9000,9000,9000,27001,1,21944.197282,3309.266478
4410,9000,9000,9000,27001,1,21955.663750,3317.952064
4420,9000,9000,9000,27001,1,21967.078451,3326.634692
4430,9000,9000,9000,27001,1,21978.441660,3335.428610
4440,9000,9000,9000,27001,1,21989.753644,3344.334664
4450,9000,9000,9000,27001,1,22001.014649,3352.664721
4460,9000,9000,9000,27001,1,22012.225318,3361.565654
4470,9000,9000,9000,27001,1,22023.385598,3370.464723
4480,9000,9000,9000,27001,1,22034.496229,3379.246306
4490,9000,9000,9000,27001,1,22045.557243,3388.025466
4500,8999,9000,9000,27000,1,22056.569272,3397.034764
4510,9000,9000,9000,27001,1,22067.532461,3405.693166
4520,9000,9000,9000,27001,1,22078.447002,3414.348585
4530,9000,9000,9000,27001,1,22089.313441,3422.883967
4540,9000,9000,9000,27001,1,22100.132131,3431.885343
4550,9000,9000,9000,27001,1,22110.903112,3440.650108
4560,9000,9000,9000,27001,1,22121.626554,3448.704858
4570,9000,9000,9000,27001,1,22132.303300,3457.463119
4580,9000,9000,9000,27001,1,22142.933556,3466.455964
4590,9000,9000,9000,27001,1,22153.517349,3474.853728
4600,9000,9000,9000,27001,1,22164.055174,3483.247482
4610,9000,9000,9000,27001,1,22174.547267,3491.875761
4620,9000,9000,9000,27001,1,22184.994091,3500.620674
4630,9000,9000,9000,27001,1,22195.395747,3509.722756
4640,9000,9000,9000,27001,1,22205.752512,3518.343577
4650,9000,9000,9000,27001,1,22216.064855,3527.202321
4660,9000,9000,9000,27001,1,22226.332845,3535.938518
4670,9000,9000,9000,27001,1,22236.556545,3544.309330
4680,9000,9000,9000,27001,1,22246.736708,3552.676169
4690,9000,9000,9000,27001,1,22256.873490,3561.525015
4700,9000,9000,9000,27001,1,22266.967122,3570.006668
4710,9000,9000,9000,27001,1,22277.018065,3578.728984
4720,9000,9000,9000,27001,1,22287.026282,3587.326560
4730,9000,9000,9000,27001,1,22296.992030,3596.166410
4740,9000,9000,9000,27001,1,22306.915539,3604.635723
4750,9000,9000,9000,27001,1,22316.797178,3612.485912
4760,9000,9000,9000,27001,1,22326.637864,3621.317212
