Tempo(s),Fila,E[N],E[W]
4820,278,124.258639,61.102493
4830,273,124.571331,61.277068
4840,269,124.879298,61.418129
4850,280,125.184721,61.526743
4860,290,125.513643,61.646923
4870,292,125.850290,61.808281
4880,291,126.194466,61.992047
4890,290,126.534538,62.148844
4900,284,126.858793,62.354106
4910,287,127.178068,62.506939
4920,289,127.503339,62.675235
4930,289,127.834862,62.827821
4940,285,128.155842,62.981482
4950,285,128.474817,63.152964
4960,297,128.801111,63.246561
4970,314,129.154825,63.353680
4980,309,129.518166,63.584431
4990,310,129.871465,63.741380
5000,312,130.233126,63.946345
5010,314,130.600359,64.141535
5020,318,130.968130,64.299268
5030,316,131.342902,64.517070
5040,305,131.703795,64.747086
5050,303,132.047331,64.937094
5060,300,132.376892,65.107608
5070,302,132.710240,65.299002
5080,307,133.054782,65.457902
5090,300,133.387044,65.610751
5100,304,133.712872,65.741410
5110,303,134.043677,65.925235
5120,300,134.368824,66.087260
5130,307,134.697657,66.187642
5140,312,135.037272,66.306035
5150,319,135.385173,66.466505
5160,323,135.736681,66.616062
5170,320,136.096796,66.833248
5180,317,136.458644,67.019605
5190,321,136.806136,67.205286
5200,330,137.169510,67.360606
5210,327,137.538516,67.518672
5220,316,137.890926,67.745001
5230,314,138.228102,67.912915
5240,313,138.563715,68.092832
5250,295,138.878135,68.281533
5260,303,139.181295,68.464754
5270,296,139.485742,68.642251
5280,285,139.770039,68.829118
5290,279,140.036142,68.974971
5300,270,140.293295,69.142130
5310,278,140.551121,69.213248
5320,273,140.801707,69.364301
5330,279,141.053609,69.490316
5340,278,141.318665,69.629237
5350,270,141.565064,69.797539
5360,278,141.807117,69.905836
5370,270,142.056772,70.037171
5380,268,142.296313,70.169951
5390,263,142.531303,70.306921
5400,257,142.751113,70.397809
5410,262,142.961885,70.477838
5420,266,143.180842,70.574769
5430,263,143.403206,70.718319
5440,260,143.624746,70.835777
5450,264,143.845001,70.965444
5460,270,144.075173,71.074308
5470,266,144.301192,71.206813
5480,277,144.528912,71.301624
5490,272,144.767499,71.446743
5500,266,144.995399,71.580172
5510,279,145.226263,71.670104
5520,278,145.466711,71.828987
5530,274,145.703335,71.973153
5540,271,145.933119,72.068950
5550,267,146.160027,72.163344
5560,259,146.367311,72.292996
5570,255,146.570281,72.420515
5580,249,146.766105,72.525227
5590,244,146.949835,72.598284
5600,247,147.126772,72.687245
5610,250,147.311966,72.761061
5620,252,147.491367,72.844844
5630,259,147.684182,72.960858
5640,251,147.873222,73.087808
5650,260,148.061389,73.201509
5660,251,148.251488,73.335380
5670,255,148.432063,73.413276
5680,254,148.624709,73.522761
5690,259,148.815892,73.580329
5700,248,149.000168,73.717642
5710,241,149.171160,73.790811
5720,237,149.327716,73.895193
5730,233,149.478196,73.977376
5740,234,149.627408,73.995117
5750,224,149.763987,74.044963
5760,227,149.899551,74.087988
5770,220,150.030063,74.173033
5780,226,150.151623,74.190151
5790,220,150.279828,74.280366
5800,230,150.407999,74.332515
5810,236,150.545126,74.363814
5820,238,150.694594,74.426556
5830,240,150.846773,74.509589
5840,243,151.003565,74.563357
5850,231,151.147067,74.673620
5860,225,151.276154,74.783049
5870,214,151.394202,74.880685
5880,216,151.504424,74.942880
5890,209,151.602719,75.011762
5900,199,151.692867,75.051398
5910,193,151.767734,75.114924
5920,194,151.839419,75.164258
5930,193,151.911439,75.220009
5940,200,151.982437,75.256392
5950,200,152.063869,75.297938
5960,205,152.148184,75.340909
5970,203,152.234194,75.409736
5980,198,152.317265,75.464560
5990,198,152.394098,75.522515
6000,201,152.471158,75.543101
6010,207,152.556030,75.548924
6020,210,152.652717,75.560710
6030,204,152.744816,75.632390
6040,199,152.828428,75.712246
6050,199,152.903567,75.763029
6060,191,152.971874,75.853822
6070,191,153.033511,75.879220
6080,197,153.103545,75.884043
6090,203,153.176766,75.909065
6100,197,153.255873,75.949372
6110,198,153.324964,75.984713
6120,210,153.408420,75.941077
6130,208,153.499638,75.987465
6140,212,153.591441,76.028011
6150,227,153.701979,76.035004
6160,219,153.819328,76.155526
6170,204,153.920714,76.249764
6180,199,154.001173,76.309113
6190,193,154.067672,76.367624
6200,188,154.128217,76.392593
6210,198,154.193134,76.413643
6220,201,154.268842,76.427893
6230,199,154.341342,76.477099
6240,195,154.410537,76.506412
6250,197,154.473771,76.557059
6260,194,154.537874,76.595969
6270,192,154.601281,76.628461
6280,186,154.657214,76.663297
6290,183,154.704093,76.711766
6300,186,154.750913,76.735990
6310,182,154.799122,76.754869
6320,189,154.848478,76.768307
6330,186,154.898383,76.794076
6340,186,154.945535,76.842513
6350,190,154.998219,76.827624
6360,183,155.043300,76.874982
6370,185,155.091006,76.887673
6380,190,155.150815,76.900420
6390,183,155.195738,76.941637
6400,178,155.233073,76.961164
6410,177,155.271733,76.999212
6420,186,155.313091,77.008808
6430,172,155.349317,77.045593
6440,167,155.372815,77.081961
6450,173,155.396939,77.083001
6460,172,155.423462,77.097102
6470,167,155.446814,77.121454
6480,157,155.451603,77.142471
6490,158,155.454359,77.132935
6500,154,155.456277,77.164246
6510,147,155.449446,77.197032
6520,142,155.428615,77.211015
6530,151,155.424678,77.168731
6540,147,155.418008,77.166244
6550,157,155.417748,77.120171
6560,155,155.416606,77.161352
6570,158,155.418759,77.169079
6580,161,155.423490,77.166420
6590,154,155.429802,77.199457
6600,145,155.423811,77.214690
6610,142,155.405058,77.206121
6620,144,155.384606,77.208293
6630,146,155.370258,77.196104
6640,150,155.360642,77.151646
6650,141,155.345025,77.167731
6660,148,155.327566,77.188598
6670,145,155.317560,77.138356
6680,147,155.300621,77.096325
6690,144,155.278400,77.068959
6700,125,155.248574,77.100693
6710,120,155.200186,77.071732
6720,120,155.147685,77.074920
6730,112,155.091613,77.076249
6740,108,155.024790,77.072146
6750,95,154.943010,77.071873
6760,96,154.853873,76.988467
6770,103,154.772262,76.925939
6780,99,154.688910,76.907737
6790,101,154.608395,76.913400
6800,112,154.537630,76.839418
6810,116,154.475643,76.798009
6820,111,154.412861,76.778631
6830,105,154.346688,76.751939
6840,105,154.274798,76.688926
6850,112,154.208432,76.645462
6860,112,154.149854,76.622563
6870,129,154.102241,76.560775
6880,128,154.062626,76.569448
6890,121,154.021151,76.593701
6900,122,153.970424,76.580114
6910,114,153.925853,76.597123
6920,113,153.870176,76.586465
6930,113,153.808821,76.572926
6940,107,153.746351,76.547792
6950,120,153.689714,76.476231
6960,126,153.645748,76.454880
6970,130,153.610314,76.443231
6980,123,153.567488,76.471504
6990,127,153.527333,76.435617
7000,124,153.489512,76.455318
7010,131,153.454653,76.405790
7020,123,153.413145,76.412678
7030,128,153.373017,76.376872
7040,128,153.339770,76.339154
7050,131,153.306000,76.317420
7060,127,153.272463,76.274307
7070,138,153.241757,76.238071
7080,138,153.216283,76.204516
7090,130,153.191797,76.176872
7100,133,153.159565,76.156097
7110,125,153.124745,76.160681
7120,129,153.082960,76.087307
7130,132,153.050508,76.077114
7140,136,153.024425,76.043597
7150,135,153.002097,76.064872
