Tempo(s),E[N],E[W],ErroLittle
4010,108.786849,52.713348,1.864583
4020,108.593319,53.170830,0.757503
4030,108.376810,52.911477,1.111794
4040,108.168528,53.407202,-0.216509
4050,107.975613,52.890916,0.550550
4060,107.796767,51.824514,2.526914
4070,107.643313,55.394959,-4.829866
4080,107.497879,54.282102,-2.752429
4090,107.360959,52.525686,0.671679
4100,107.231981,53.026590,-0.485804
4110,107.099050,52.654207,0.099918
4120,106.978481,52.491514,0.226595
4130,106.848766,51.119427,2.952372
4140,106.707255,51.764500,1.415805
4150,106.594310,51.773800,1.216987
4160,106.493428,51.996105,0.683499
4170,106.396209,51.464021,1.637760
4180,106.288570,52.013530,0.469761
4190,106.149821,51.093828,2.343121
4200,106.027497,52.448322,-0.579236
4210,105.897955,52.588561,-0.955346
4220,105.763711,50.795003,2.595158
4230,105.606109,52.382576,-0.773429
4240,105.437582,53.254515,-2.697560
4250,105.290492,51.741221,0.251546
4260,105.146270,51.504985,0.627138
4270,105.014958,52.829876,-2.227242
4280,104.888591,52.376920,-1.442041
4290,104.775522,51.212888,0.753666
4300,104.646050,51.755604,-0.389234
4310,104.488989,49.157579,4.819677
4320,104.332102,51.781388,-0.678842
4330,104.182894,50.855744,1.121660
4340,104.032499,50.856634,0.893340
4350,103.886127,52.075824,-1.603270
4360,103.747515,51.376986,-0.336397
4370,103.620540,50.888309,0.551494
4380,103.504749,50.514807,1.237261
4390,103.388044,51.645490,-1.209551
4400,103.280552,52.090115,-2.175309
4410,103.184035,48.778214,4.524069
4420,103.084204,54.626171,-7.466954
4430,103.000202,50.547811,0.726022
4440,102.905312,50.039936,1.759360
4450,102.798684,50.708317,0.242707
4460,102.695939,50.981583,-0.330280
4470,102.575193,51.105573,-0.673557
4480,102.435709,49.541368,2.388609
4490,102.312734,49.643916,2.035150
4500,102.189711,49.503908,2.149417
4510,102.043201,51.138566,-1.265728
4520,101.877185,49.710544,1.478410
4530,101.696107,51.260959,-1.922584
4540,101.516561,49.428140,1.587955
4550,101.330780,49.482748,1.284749
4560,101.143567,50.681317,-1.323291
4570,100.962353,49.609564,0.608445
4580,100.772878,49.043961,1.600994
4590,100.579689,49.612108,0.351652
4600,100.366520,51.219174,-3.181056
4610,100.189706,49.908586,-0.753012
4620,100.016156,49.108321,0.726039
4630,99.821274,48.332134,2.135251
4640,99.632493,49.910563,-1.211396
4650,99.460271,49.878525,-1.354688
4660,99.303174,48.177735,1.925862
4670,99.121825,49.523926,-0.968114
4680,98.930934,49.214149,-0.462624
4690,98.728824,49.456185,-1.143775
4700,98.517440,47.790515,2.070922
4710,98.330689,49.254499,-1.092937
4720,98.139667,49.824050,-2.466040
4730,97.964196,48.700726,-0.322620
4740,97.778867,47.245820,2.347017
4750,97.610313,48.975326,-1.265808
4760,97.427600,48.477231,-0.460847
4770,97.240530,46.524968,3.347135
4780,97.049100,47.602993,1.036503
4790,96.844846,46.487385,3.070819
4800,96.682709,45.926771,4.115375
4810,96.501583,47.346887,1.099154
4820,96.302755,50.344340,-5.132542
4830,96.114647,47.323687,0.779032
4840,95.922618,46.706427,1.867146
4850,95.745923,47.316159,0.324686
4860,95.560514,48.198760,-1.594852
4870,95.384126,46.120934,2.396917
4880,95.194377,48.431438,-2.429006
4890,95.023039,47.297158,-0.323452
4900,94.870353,46.663501,0.766899
4910,94.724215,47.501383,-1.067605
4920,94.588176,44.967210,3.948562
4930,94.469514,46.533991,0.591961
4940,94.353010,47.803198,-2.097822
4950,94.242256,44.964137,3.547315
4960,94.115325,46.646087,0.052439
4970,93.998782,46.453232,0.270762
4980,93.881268,48.317214,-3.651722
4990,93.788252,45.598734,1.733761
5000,93.662788,46.044418,0.746102
5010,93.529175,45.896771,0.910267
5020,93.397025,46.171409,0.246938
5030,93.253670,47.018076,-1.586977
5040,93.113581,46.934037,-1.568669
5050,92.966323,45.230248,1.741729
5060,92.805432,46.440179,-0.857836
5070,92.653762,46.026864,-0.170881
5080,92.481691,45.430070,0.915538
5090,92.301629,45.353959,0.885822
5100,92.122843,46.206628,-1.015971
5110,91.951730,44.424743,2.477721
5120,91.776565,45.491229,0.137550
5130,91.591319,43.940037,3.121541
5140,91.428387,45.929199,-1.111205
5150,91.277093,45.896654,-1.180733
5160,91.117451,45.527064,-0.578124
5170,90.933330,46.355258,-2.373364
5180,90.782835,44.776019,0.620455
5190,90.628290,46.701608,-3.388896
5200,90.497323,45.184556,-0.522748
5210,90.367579,45.429749,-1.098626
5220,90.236783,44.939963,-0.269331
5230,90.101999,43.468457,2.607895
5240,89.976534,45.507361,-1.581800
5250,89.843369,44.035971,1.229784
5260,89.709304,44.287026,0.590024
5270,89.578749,44.854650,-0.665446
5280,89.459593,45.732950,-2.506489
5290,89.333073,44.176593,0.504439
5300,89.190196,45.249542,-1.798419
5310,89.068083,44.685669,-0.738993
5320,88.929496,43.985546,0.497969
5330,88.787656,45.846509,-3.386516
5340,88.646288,44.020689,0.127779
5350,88.507272,44.297135,-0.563721
5360,88.380188,44.197470,-0.555667
5370,88.268604,44.502473,-1.331352
5380,88.167657,43.009920,1.589563
5390,88.050211,42.423568,2.669226
5400,87.942815,44.164231,-0.940736
5410,87.825038,43.980677,-0.672487
5420,87.694511,44.063571,-1.017727
5430,87.564198,42.784613,1.447609
5440,87.430507,43.835495,-0.778402
5450,87.293434,44.079289,-1.462075
5460,87.159054,44.030250,-1.512794
5470,87.053594,43.287066,-0.169141
5480,86.945331,41.868756,2.604576
5490,86.832069,43.881232,-1.589558
5500,86.734326,42.712054,0.689829
5510,86.637049,42.614332,0.813673
5520,86.534432,42.055763,1.867303
5530,86.434998,43.766660,-1.718602
5540,86.328933,41.229521,3.316043
5550,86.217573,43.284300,-0.976998
5560,86.111262,43.510039,-1.612990
5570,86.028092,41.432778,2.483786
5580,85.960481,43.261757,-1.304658
5590,85.882073,42.092464,1.034293
5600,85.811740,42.895788,-0.696194
5610,85.751262,42.724382,-0.465744
5620,85.699934,42.876659,-0.884862
5630,85.651876,41.985019,0.862588
5640,85.606891,41.760762,1.241279
5650,85.578667,40.848692,3.029632
5660,85.549825,41.606253,1.455846
5670,85.542885,42.372770,-0.143209
5680,85.535385,42.641244,-0.696399
5690,85.519958,42.489727,-0.376418
5700,85.489822,43.604481,-2.666201
5710,85.456140,42.113856,0.343794
5720,85.424864,42.727862,-0.946821
5730,85.403243,41.493893,1.518869
5740,85.389430,43.166279,-1.912706
5750,85.376855,41.891040,0.649376
5760,85.364199,43.515496,-2.663808
5770,85.360015,42.430081,-0.417191
5780,85.348630,43.384467,-2.346849
5790,85.334046,41.309962,1.823324
5800,85.322961,41.849443,0.672858
5810,85.322969,42.929079,-1.516059
5820,85.331083,41.843458,0.630542
5830,85.347360,44.316063,-4.310553
5840,85.356238,42.614509,-0.834668
5850,85.372157,42.652729,-0.923463
5860,85.388161,41.182159,2.083175
5870,85.392299,41.992996,0.464258
5880,85.387388,42.503101,-0.591176
5890,85.363766,42.029670,0.370547
5900,85.339409,43.243135,-2.097323
5910,85.324629,41.457884,1.499473
5920,85.309515,42.698543,-1.016973
5930,85.305780,43.346761,-2.354537
5940,85.309289,41.102484,2.177209
5950,85.311684,42.823119,-1.278033
5960,85.312121,42.092196,0.210881
5970,85.305842,41.104012,2.184495
5980,85.309021,42.708369,-1.124965
5990,85.325549,45.752834,-7.323960
6000,85.357728,43.091540,-1.921676
6010,85.377309,44.267917,-4.257104
6020,85.402046,41.866798,0.628941
6030,85.425296,43.098261,-1.869949
6040,85.462332,42.260767,-0.129346
6050,85.496573,42.787983,-1.133059
6060,85.527604,39.567314,5.437268
6070,85.549060,41.467115,1.603683
6080,85.564447,42.156878,0.197844
6090,85.597970,40.431275,3.736201
6100,85.622715,43.951657,-3.380756
6110,85.652040,41.914487,0.795347
6120,85.673951,40.518455,3.670336
6130,85.684269,42.627559,-0.557631
6140,85.692531,41.501869,1.743152
6150,85.699854,43.866979,-3.047982
6160,85.707184,41.836689,1.081812
6170,85.705885,42.447108,-0.164409
6180,85.704478,41.681116,1.351724
6190,85.704028,41.869051,0.977850
6200,85.686868,40.051926,4.703398
6210,85.661154,41.918939,0.896934
6220,85.641881,42.213219,0.245261
6230,85.617583,42.418694,-0.145544
6240,85.577760,41.823855,1.033135
6250,85.517665,41.526192,1.596563
6260,85.449119,43.053427,-1.540119
6270,85.370059,41.384858,1.743338
6280,85.288531,41.927407,0.542675
6290,85.200290,41.968036,0.365498
6300,85.117403,42.266935,-0.347724
6310,85.033875,42.161446,-0.277100
6320,84.941205,40.614475,2.800156
6330,84.819974,41.745404,0.421413
6340,84.689718,42.257693,-0.718499
6350,84.561600,41.155431,1.351591
6360,84.439092,42.098155,-0.682051
6370,84.313357,41.995428,-0.573800
6380,84.188793,43.242101,-3.263319
6390,84.072313,42.244486,-1.365327
6400,83.962345,40.938256,1.159244
6410,83.841798,40.796770,1.331822
6420,83.725920,43.407676,-4.055378
6430,83.632943,40.760280,1.194454
6440,83.524236,42.460836,-2.329215
6450,83.429735,40.844324,0.831122
6460,83.325257,41.094166,0.240010
6470,83.224632,40.569069,1.137299
6480,83.142755,39.657524,2.924577
6490,83.041988,41.472804,-0.844442
6500,82.940315,41.772645,-1.522379
6510,82.841993,39.650970,2.642409
6520,82.754748,40.037327,1.755658
6530,82.678694,40.196597,1.314738
6540,82.606869,40.840517,-0.091828
6550,82.541963,41.732137,-2.000256
6560,82.494173,41.014405,-0.622515
6570,82.452420,39.442216,2.535648
6580,82.419223,40.470290,0.396900
6590,82.378119,39.955186,1.419562
6600,82.318864,40.338317,0.587500
6610,82.256957,39.933749,1.351393
6620,82.187305,40.929545,-0.688383
6630,82.123616,39.811414,1.477997
6640,82.057842,39.750741,1.566185
6650,81.979300,40.173219,0.636941
6660,81.905437,39.952326,1.015415
6670,81.823135,41.474384,-2.161449
6680,81.758239,38.594903,3.630198
6690,81.696595,39.768202,1.177147
6700,81.636852,42.853237,-5.119109
6710,81.583785,38.493338,3.685840
6720,81.522179,40.945895,-1.423427
6730,81.464381,39.847661,0.771943
6740,81.386337,39.744681,0.886839
6750,81.314504,40.793253,-1.309080
6760,81.243535,39.597082,1.050256
6770,81.166505,40.241687,-0.303308
6780,81.083437,41.251556,-2.445769
6790,81.004502,40.424373,-0.860677
6800,80.927268,40.363226,-0.819830
6810,80.849143,40.645073,-1.412297
6820,80.769665,39.476817,0.902244
6830,80.702882,39.667323,0.434567
6840,80.638750,39.149599,1.384967
6850,80.590171,40.135511,-0.682611
6860,80.537604,39.207195,1.181448
6870,80.485261,40.015148,-0.517486
6880,80.433016,39.122885,1.247849
6890,80.376046,39.410058,0.630688
6900,80.308120,38.760546,1.898863
6910,80.234109,38.704254,1.939711
6920,80.165225,39.347305,0.578463
6930,80.097234,39.905525,-0.651479
6940,80.029660,40.229262,-1.378214
6950,79.965831,40.320691,-1.596648
6960,79.894309,39.671066,-0.353665
6970,79.819995,39.662015,-0.408468
6980,79.741518,39.164629,0.531445
