Tempo(s),E[N],E[W],ErroLittle
6630,36.287750,19.628471,-2.534172
6640,36.326601,18.048630,0.640585
6650,36.372010,17.667359,1.428068
6660,36.415187,17.816017,1.168497
6670,36.470232,19.781719,-2.686267
6680,36.530614,18.800861,-0.693054
6690,36.606187,19.152803,-1.349659
6700,36.679687,18.080286,0.854131
6710,36.762775,19.111255,-1.124230
6720,36.845200,19.716060,-2.236095
6730,36.933400,18.179539,0.874817
6740,37.022845,17.909879,1.518383
6750,37.115738,17.205416,2.992099
6760,37.213452,18.087689,1.330539
6770,37.325475,18.028710,1.542415
6780,37.443566,19.398924,-1.078456
6790,37.567366,21.191546,-4.519901
6800,37.696142,18.934890,0.065851
6810,37.841536,18.687718,0.708441
6820,37.970307,19.428878,-0.633773
6830,38.112724,20.196510,-2.017570
6840,38.246686,18.520187,1.450008
6850,38.379787,19.602644,-0.547020
6860,38.503384,19.794268,-0.805051
6870,38.630576,18.610823,1.669901
6880,38.758492,19.862709,-0.703920
6890,38.900695,18.970756,1.197312
6900,39.042509,20.480767,-1.648035
6910,39.179054,19.281426,0.878972
6920,39.312780,20.832827,-2.073309
6930,39.431769,19.406376,0.880791
6940,39.540640,19.290152,1.237084
6950,39.632567,18.999559,1.924235
6960,39.707663,20.209573,-0.389038
6970,39.766062,20.700425,-1.304454
6980,39.821552,19.676151,0.776757
6990,39.877752,20.638658,-1.066491
7000,39.926877,20.626991,-0.981489
7010,39.983762,19.841907,0.622950
7020,40.027559,20.543916,-0.714922
7030,40.063609,20.559589,-0.714347
7040,40.095804,21.305061,-2.154181
7050,40.140199,20.036808,0.397245
7060,40.182836,20.497541,-0.489844
7070,40.227460,19.514878,1.506972
7080,40.268117,20.666017,-0.721437
7090,40.287753,20.943780,-1.255807
7100,40.314235,21.021230,-1.375501
7110,40.346016,19.690141,1.286182
7120,40.380145,20.440946,-0.171487
7130,40.409766,21.232116,-1.729897
7140,40.448721,21.489321,-2.226662
7150,40.503185,19.679518,1.425237
7160,40.557777,20.913370,-0.960457
7170,40.604162,20.196347,0.530727
7180,40.641201,20.821610,-0.668043
7190,40.682646,20.051415,0.901086
7200,40.720177,19.606608,1.832787
7210,40.751079,19.551652,1.987135
7220,40.770929,20.984617,-0.828445
7230,40.795123,20.458280,0.229712
7240,40.826809,20.279704,0.606357
7250,40.845301,20.397135,0.392115
7260,40.866339,20.492118,0.212512
7270,40.883496,21.039964,-0.861496
7280,40.900908,21.056252,-0.877195
7290,40.908344,21.780244,-2.308120
7300,40.915228,20.473021,0.297415
7310,40.918616,20.708656,-0.167238
7320,40.921686,20.850658,-0.443419
7330,40.914645,21.009224,-0.753811
7340,40.908854,20.077428,1.088953
7350,40.906030,20.301167,0.632585
7360,40.902577,19.034099,3.155716
7370,40.893205,20.487557,0.279631
7380,40.876683,20.393627,0.455125
7390,40.856914,20.475188,0.280947
7400,40.840202,21.172790,-1.138374
7410,40.827684,19.619340,1.925583
7420,40.820389,20.301114,0.542098
7430,40.804717,19.380239,2.361588
7440,40.781799,19.472312,2.171910
7450,40.750516,19.086104,2.921695
7460,40.710723,21.568277,-2.032254
7470,40.668253,20.813788,-0.593426
7480,40.618252,19.790496,1.385356
7490,40.574497,21.472723,-2.013447
7500,40.537163,18.934557,2.976761
7510,40.497333,19.533015,1.752925
7520,40.452236,21.431204,-2.052428
7530,40.400001,21.125098,-1.472859
7540,40.349576,20.580602,-0.448216
7550,40.306816,21.433195,-2.209452
7560,40.278959,20.775716,-0.925785
